,0
1611,group_3751
1612,group_2302
1613,group_3394
1614,group_2331
1615,group_1191
1616,group_3570
1617,group_2337
1618,group_2390
1619,group_2354
1620,group_413
1621,group_2874
1622,group_2968
1623,group_3748
1624,group_2396
1625,group_2395
1626,group_1564
1627,group_3749
1628,group_928
1629,group_2552
1630,group_1396
1631,group_171
1632,group_2732
1633,group_2875
1634,yjjV
1635,group_2877
1636,group_1855
1637,group_2288
1638,group_3184
1639,group_2388
1640,group_3569
1641,group_196
1642,group_3571
1643,group_2878
1644,group_2253
1645,pilE_11
1646,group_2368
1647,pilE_9
1648,group_1577
1649,group_159
1650,group_3313
1651,dsbC_1
1652,group_2318
1653,group_2881
1654,ansA
1655,group_3409
1656,group_2767
1657,group_2104
1658,group_948
1659,group_2377
1660,group_2879
1661,group_2579
1662,group_2806
1663,group_2366
1664,group_751
1665,group_3310
1666,group_2297
1667,group_3322
1668,group_1684
1669,group_2350
1670,group_2876
1671,group_2353
1672,group_1555
1673,group_2343
1674,group_3533
1675,group_2662
1676,group_1687
1677,group_2349
1678,group_3311
1679,group_1688
1680,group_752
1681,group_3754
1682,group_2394
1683,vsr_2
1684,group_2817
1685,group_2363
1686,group_1646
1687,group_2347
1688,group_2663
1689,group_3309
1690,group_923
1691,group_3532
1692,group_2348
1693,group_2496
1694,group_2971
1695,group_3433
1696,group_1189
1697,group_2329
1698,group_3756
1699,group_2664
1700,group_3312
1701,group_3327
1702,group_2972
1703,group_3143
1704,group_757
1705,group_3531
1706,group_3753
1707,group_3023
1708,group_1454
1709,group_3018
1710,group_2973
1711,group_2588
1712,group_3341
1713,group_2341
1714,group_904
1715,group_1619
1716,doc
1717,group_1861
1718,group_156
1719,group_3534
1720,group_1337
1721,group_1190
1722,ybaQ
1723,group_1867
1724,group_147
1725,group_3142
1726,haeIIIM_3
1727,group_2894
1728,group_3340
1729,group_3022
1730,group_3755
1731,group_3473
1732,group_2977
1733,group_3145
1734,group_2891
1735,group_1673
1736,group_3343
1737,group_3307
1738,group_3723
1739,group_3779
1740,group_3091
1741,group_1893
1742,group_2897
1743,group_933
1744,group_3472
1745,group_2742
1746,dpnA_2
1747,group_2292
1748,group_3339
1749,group_3141
1750,group_2893
1751,group_3724
1752,group_2982
1753,group_3474
1754,group_1879
1755,group_2892
1756,group_3344
1757,group_2978
1758,group_3144
1759,group_1457
1760,group_3010
1761,group_2979
1762,group_2712
1763,group_2291
1764,group_3256
1765,vapD_1
1766,group_1186
1767,group_155
1768,group_1463
1769,group_1119
1770,group_2495
1771,group_3036
1772,group_3011
1773,group_3342
1774,group_3383
1775,group_491
1776,group_3012
1777,group_2403
1778,group_1549
1779,group_3457
1780,group_2714
1781,group_291
1782,group_2420
1783,group_2543
1784,group_3014
1785,group_2733
1786,group_3185
1787,group_3682
1788,group_2428
1789,group_2273
1790,group_3013
1791,group_2526
1792,pilE_14
1793,group_1554
1794,group_254
1795,group_2405
1796,group_1784
1797,group_282
1798,group_2468
1799,group_3137
1800,group_3542
1801,group_2415
1802,group_3444
1803,group_2424
1804,group_3134
1805,group_3544
1806,group_2709
1807,group_2429
1808,group_62
1809,group_1917
1810,group_2556
1811,group_3138
1812,group_3711
1813,group_1652
1814,group_1613
1815,group_1166
1816,group_3541
1817,group_989
1818,dam
1819,group_3135
1820,group_2426
1821,group_3441
1822,group_1653
1823,group_3710
1824,group_3539
1825,group_2421
1826,group_3136
1827,group_3442
1828,group_3413
1829,group_3477
1830,group_3063
1831,group_2416
1832,group_3543
1833,group_3027
1834,group_3412
1835,group_2613
1836,group_3443
1837,group_2422
1838,group_3545
1839,group_150
1840,group_3772
1841,group_2652
1842,group_3440
1843,group_2427
1844,group_799
1845,group_3460
1846,group_2653
1847,group_3773
1848,group_2425
1849,group_2793
1850,group_1445
1851,group_2450
1852,group_2423
1853,group_2654
1854,group_3774
1855,group_3446
1856,group_3469
1857,group_2493
1858,group_2419
1859,group_1569
1860,group_3726
1861,group_3220
1862,group_3775
1863,group_2655
1864,group_2409
1865,group_3171
1866,group_3468
1867,group_3447
1868,group_2492
1869,group_3720
1870,group_3725
1871,group_3214
1872,group_3219
1873,group_2494
1874,group_3170
1875,group_3717
1876,group_3321
